,Tweet Body ,Sentiment ,processed_content
515,“anorexics hate food” wrong we actually love it we just hate the fact it has cals ☹️,Negative,hate wrong actually love just hate the fact has cals
516,Anorexics knees after kneeling for two seconds,Negative,anorexics knees after kneeling for two seconds
517,maybe because u can be anorexic at any bmi?!?,Neutral,maybe because can anorexic any
518,anorexic era is sm more fun that binging era im gonna lose 10kg this month fr!!,Negative,anorexic era more fun that binging era gonna lose 10kg this month
519,"am i anorexic ? am i bulimic ? who knows, only ed-nos",Neutral,anorexic bulimic who only
520,thread of my old wieiad tiktoks from when i was a better anorexic,Neutral,thread old wieiad tiktoks from when was better anorexic
521,why do so many ppl pretend they’re anorexic,Neutral,why many ppl pretend anorexic
522,Autistic Bald Anorexic Very Rare Trans Girl Not Tampered With $830.00 or best offer,Negative,autistic bald anorexic very rare trans girl not tampered with best offer
523,when Natalia Kills said “my wallet is anorexic” I felt that,Neutral,when natalia kills said wallet felt that
524,"“You’re fat” 
“Oh you’re not fat, you’re anorexic” 

…come on man if you’re gonna insult me at least be good at it 💀😂",Neutral,not man gonna insult least good
525,I wish I was one of those anorexics who only eats cucumbers and hard boiled egg whites,Negative,wish was one those anorexics who only eats cucumbers and hard boiled egg whites
526,"bodycheck
help a poor anorexic find her ass plz",Negative,bodycheck help poor anorexic find her ass plz
527,Does this look anorexic,Neutral,does this look anorexic
528,"“I’m gonna quote tweet this freakishly anorexic person and tell them that they’re fat and need to lose weight! And I’m not just going to do it once and move on, I’ll keep the trend going for several days! THAT, my friends, is peak humor!”",Negative,gonna quote tweet this freakishly anorexic person and tell them that fat and need lose and not just going once and move keep the trend going for several peak
529,there is no greater bond than that of an anorexic woman and her extremely racist boyfriend,Negative,there greater bond than that anorexic woman and her extremely racist boyfriend
530,When transphobes start in with the whole “we don’t give anorexics liposuction” it just reinforces that they have no clue what they are talking about. And are fundamentally unqualified to be engaging in the conversation. And they think they make a really great point. And it’s,Negative,when transphobes start with the whole give anorexics just reinforces that they have clue what they are talking and are fundamentally unqualified engaging the and they think they make really great and
531,I’m the best anorexic cuz for breakfast lunch and dinner i eat you hoes up,Neutral,the best anorexic cuz for breakfast lunch and dinner eat you hoes
532,why can’t i be anorexic in peace i’ve been forced to be normal weight for over a year now bc of treatment I HATE HOW I LOOK,Negative,why anorexic peace been forced normal weight for over year now treatment hate how look
533,lactose intolerant anorexic bitch eats 1 pint of halo top icecream for breakfast and faces the consequences (gone wrong!!),Neutral,lactose intolerant anorexic bitch eats pint halo top icecream for breakfast and faces the consequences
534,"If a man has a lower percentage of body fat than a man and they lose the same amount of weight, who loses the greatest percentage of body fat?",Neutral,man has lower percentage body fat than man and they lose the same amount who loses the greatest percentage body
535,"If my daughter was in the early months of AN, I can’t imagine the added strain of reading these stories about services giving up on patients. AN is hard enough for families. To feel that nobody cares if your child lives or dies is shattering.",Negative,daughter was the early months imagine the added strain reading these stories about services giving hard enough for feel that nobody cares your child lives dies
536,"This #MentalHealthAwarenessWeek, we wanted to emphasize the substantial psychological effects of an #EatingDisorder. OfteÃ¢â‚¬Â¦",Neutral,this wanted emphasize the substantial psychological effects
537,me going back in time to tell taylor she cant talk about her eating disorder in miss americana cause her insane fans will bring it up at any given moment and wont let us enjoy the 1989tv era in peace,Negative,going back time tell taylor she cant talk about her eating disorder miss americana cause her insane fans will bring any given moment and wont let enjoy the 1989tv era peace
538,Every season of my life is plagued by having a crippling eating disorder like when do I get to win?????,Negative,every season life plagued having crippling eating disorder like when get
539,Kerry Washington Recalls ‘Trying To Destroy’ Herself While Battling An Eating Disorder That Made Her Suicidal,Negative,kerry washington recalls herself while battling eating disorder that made her suicidal
540,living with ur parents who know you have an eating disorder sucks. ive gained 10lbs from living with them again. i literally feel so disgusting. i can feel the fat on myself every time I walk. i know everyone sees it too,Negative,living with parents who know you have eating disorder ive gained 10lbs from living with them literally feel can feel the fat myself every time know everyone sees too
541,In season the 5 reunion of married to medicine they did a poor job of addressing Toya saying she had an eating disorder and that the jokes about her weight were triggering especially Jackie and Heavenly like…,Negative,season the reunion married medicine they did poor job addressing toya saying she had eating disorder and that the jokes about her weight were triggering especially jackie and heavenly
542,"Tw: fatphobia, eating disorder Okay, I get now why I'm feeling so mentally exhausted these days, and yet again it is: my fatphobic family. Their obsession with weight loss is literally in every word they say, all they are doing now is related to that.",Negative,eating disorder get now why feeling mentally exhausted these and yet again fatphobic their obsession with weight loss literally every word they all they are doing now related
543,my body is dying and it’s not because of an eating disorder… embarrassing,Negative,body dying and not because eating embarrassing
544,Can twitter stop giving me eating disorder posts on my tl please and thank you,Negative,can twitter stop giving eating disorder posts please and thank you
545,wait till y'all realize that there are medical reasons why someone would need to know their daily intake besides an eating disorder,Neutral,wait till realize that there are medical reasons why someone would need know their daily intake besides eating disorder
546,If that was her intention that’s messed up 😭 I couldn’t imagine knowing my mom named me after an eating disorder,Negative,that was her intention messed imagine knowing mom named after eating disorder
547,"Recovery from an eating disorder is a journey, but it's a journey worth taking. Hold onto hope, and remember that you have the strength within you to overcome this. You deserve to live a life filled with peace, joy, and self-love. Ã°Å¸â€™â€º",Positive,recovery from eating disorder but journey worth hold onto and remember that you have the strength within you overcome you deserve live life filled with and
548,"i weigh 0.0016oz becuz im just a Bug and im little. Beat that, Anorexics !",Negative,weigh becuz just bug and beat anorexics
549,why cant i be it girl lana del rey pink pilates princess wonyoungism type anorexic i feel so trashy and tired all the time,Negative,why cant girl lana del rey pink pilates princess wonyoungism type anorexic feel trashy and tired all the time
550,wish i was an ortho gym obsessed anorexic instead of this binge-restrict sedentary goblin life 😭,Negative,wish was ortho gym obsessed anorexic instead this sedentary goblin life
551,"anorexics think they’re going to save so much money by restricting but you end up paying for 100 doctor visits , 30 supplements and 20€ on that one overpriced low cal safe food you’re obsessed with",Negative,anorexics think going save much money restricting but you end paying for 100 doctor visits supplements and that one overpriced low cal safe food obsessed with
552,this is such a stereotypically anorexic meal,Negative,this such stereotypically anorexic meal
553,best anorexic??,Neutral,best
554,"hnggggh yes i am anorexic, starver, i’m nauseous from my cerebral cortex to my stomach acid",Negative,hnggggh yes nauseous from cerebral cortex stomach acid
555,fink it's about time we discussed how a major portion of edtwt is just men folk who are there solely to prey on anorexic girls because they're aware they're emotionally and mentally fragile and amenable,Negative,fink about time discussed how major portion edtwt just men folk who are there solely prey anorexic girls because aware emotionally and mentally fragile and amenable
556,Wignats flirt with anorexic teenagers. Groypers mog them. And you wonder why we’re winning 🤣,Negative,wignats flirt with anorexic groypers mog and you wonder why winning
557,Starting to think maaaybe I'm actually an anorexic,Neutral,starting think maaaybe actually anorexic
558,90% of anorexics stop right before they hit their perfect skinny goal weight (i’m in the 10%),Neutral,anorexics stop right before they hit their perfect skinny goal weight the
559,"call me a ""fake anorexic"" but macros>calories in my opinion",Neutral,call but opinion
560,"Explain something to me. I’m bmi 15.5, not anemic, don’t bruise easily, good body temp, and I still have a regular and healthy period. Maybe I’m not anorexic at all.",Neutral,explain something bmi not bruise good body and still have regular and healthy maybe not anorexic
561,MY MOM JUST ASKED IF IM DOING AN “ANOREXIC DIET”,Negative,mom just asked doing
562,im so good at being anorexic i say no to cookies on websites btw,Neutral,good being anorexic say cookies websites btw
563,Right😂😂 then when he realized I was indeed not fat he went straight for the “oh you’re anorexic” like MF PICK ONE💀😂,Negative,then when realized was indeed not fat went straight for the like pick
564,"My friend didn't eat all their rice so I asked if I could eat it cuz I'm still hungry, then my anorexic bmi 25 friend was like ""oh ur bulking??"" So I said ""no?"" And he was like ""but ur eating carbs??"" 🤯",Negative,friend eat all their rice asked could eat cuz still then anorexic bmi friend was like said and was like eating
565,Being anorexic is one thing but posting photos of your progress naked is kinda cray cray,Negative,being anorexic one thing but posting photos your progress naked kinda cray cray
566,That anorexic chick needs to be banned from all social media platforms because it's just uncomfortable to look at her,Negative,that anorexic chick needs banned from all social media platforms because just uncomfortable look her
567,GEEKS DO NOT HAVE PEDIGREES OR PERFECT PUNK ROCK RESUMES OR ANOREXIC MAGAZINES IT SMELLS LIKE GIRL IT SMELLS LIKE GIRL,Neutral,geeks not have pedigrees perfect punk rock resumes anorexic magazines smells like girl smells like girl
568,i hate how low cal stuff have such suspicious names how am I supposed to carry around SKINNY FOREVER BAR 4 CALORIES ONLY FOR ANOREXICS without being sus,Neutral,hate how low cal stuff have such suspicious names how supposed carry around skinny forever bar calories only for anorexics without being sus
569,how am i supposed to be anorexic in these conditions 🙄🙄,Neutral,how supposed anorexic these conditions
570,when did kicking ur kid out for being anorexic become socially acceptable,Negative,when did kicking kid out for being anorexic become socially acceptable
571,i have something not so anorexic to say…,Neutral,have something not anorexic
572,asking all my questions here instead of google bc i want to hear the anorexic angle,Neutral,asking all questions here instead google want hear the anorexic angle
573,hey yall look I drew anorexic dazai<3 (its not the best but I really liked this idea of him using bandages as a waist trainer so yea),Neutral,hey yall look drew anorexic not the best but really liked this idea him using bandages waist trainer
574,"""are u an anorexic who bakes and gives it all to ur family or cooks and gives it all to ur family?"" me at least once a week:",Neutral,anorexic who bakes and gives all family cooks and gives all least once
575,worst anorexic driving to get peanut butter 🔥 no regrets,Neutral,worst anorexic driving get peanut butter regrets
576,Just made a irl anorexic friend i am so happy we can fast together now (^o^),Neutral,just made irl anorexic friend happy can fast together now
577,when the sun officially set down i turned into the best anorexic (gmar chatima tova everyone),Neutral,when the sun officially set down turned into the best anorexic chatima tova
578,The anorexic urge to cook the most delicious meals possible’s,Neutral,the anorexic urge cook the most delicious meals
579,shoutout to all my anorexic chefs making the prettiest low cal meals ever,Neutral,shoutout all anorexic chefs making the prettiest low cal meals ever
580,No Anorexic is denying a cucumber this is unrealistic.,Neutral,anorexic denying cucumber this
581,anorexic party starter pack,Neutral,anorexic party starter pack
582,"6 years ago- Anorexic and thinking the whole world was against me.  I was so miserable. People can help but recovery comes from within and when you fight for it you really have to fight hard but it’s 100% worth it, and this year has taught me that happy stories can come true.",Neutral,years anorexic and thinking the whole world was against was people can help but recovery comes from within and when you fight for you really have fight hard but worth and this year has taught that happy stories can come
583,This anorexic chick WILL SOON DIE of cardiac arrest brought on by an electrolyte deficiency or imbalance. Sad but True.  Have ANY of her “fans” even thought to HELP SAVE her?,Negative,this anorexic chick will soon die cardiac arrest brought electrolyte deficiency sad but have any her even thought help save
584,Wosorof anorexic bulimic retro-ish condition is this,Neutral,wosorof anorexic bulimic condition this
585, i swear to god you have never smelled somethin so foul in your life until you have smelled anorexic recovery farts,Negative,swear god you have never smelled somethin foul your life until you have smelled anorexic recovery farts
586,Ive been between 120-130 since june I hate ednos I want to be anorexic again,Neutral,ive been between since june hate ednos want anorexic again
587,My fav anorexic,Neutral,fav anorexic
588,"I WAS TALKING ABOUT MY TWT FOLLOWERS AND RANDOMLY SHE SAID ""i dont like that theyre anorexic"" HEL",Neutral,was talking about twt followers and randomly she said dont like that theyre hel
589,"In the ER, you can almost see my collarbones and chestbones :p also the nurse asked me if I was anorexic 💀",Neutral,the you can almost see collarbones and chestbones also the nurse asked was anorexic
590,I’m trying to figure out how you go a decade being anorexic,Neutral,trying figure out how you decade being anorexic
591,I need an anorexic bff to lose weight together,Neutral,need anorexic bff lose weight together
592,Anorexic or Poor,Negative,anorexic poor
593,this mf straight up obsessing over me cus i said im anorexic n have big tits that dont sag cus he said anorexics cant have big tits 💀💀,Negative,this straight obsessing over cus said anorexic have big tits that dont sag cus said anorexics cant have big tits
594,how does this happen? do they have inpatient clinics in the US or what? like when i was anorexic i was put in a hospital against my will (for good reasons) i’m shocked no one is intervening here…,Negative,how does this they have inpatient clinics the like when was anorexic was put hospital against will good shocked one intervening
595,"Nothing about this is normal.. at all. I've never seen such a severely anorexic person flaunt their disorder and body around like that, as if everything is completely fine.",Negative,nothing about this never seen such severely anorexic person flaunt their disorder and body around like everything completely
596,My brain needs to decide if I’m gonna be anorexic or depressed cause I do not have the capacity to be both rn,Negative,brain needs decide gonna anorexic depressed cause not have the capacity both
597,anorexic vs college cafeteria,Neutral,anorexic college cafeteria
598,Atypical anorexia should not be a term. We are just anorexics and having teens to differentiate between underweight anorexics and not underweight anorexics is extremely harmful to anorexics. It just motivates those who are not underweight to get worse and feel like they need,Negative,atypical anorexia should not are just anorexics and having teens differentiate between underweight anorexics and not underweight anorexics extremely harmful just motivates those who are not underweight get worse and feel like they need
599,i’ve never had halo top or rice cakes.. i’m the worst anorexic,Neutral,never had halo top rice the worst anorexic
600,My God.  The anorexic Megyn Kelly who is pushing 50 is dressed like a goth cheerleader.  LOLOLOL,Negative,the anorexic megyn kelly who pushing dressed like goth lololol
601,"Am I even anorexic? I feel like I’m attention seeking cause I’ve never gone on a fast and I eat everyday, like I do undereat and only eat like 300-500 cals a day but I feel really invalid and that I’m not doing anything extreme enough to have an eating disorder",Neutral,even feel like attention seeking cause never gone fast and eat like undereat and only eat like cals day but feel really invalid and that not doing anything extreme enough have eating disorder
602,does my shopping cart look anorexic hELP,Neutral,does shopping cart look anorexic help
603,the being interested in fashion to being anorexic pipeline is alive and breathing,Neutral,the being interested fashion being anorexic pipeline alive and breathing
604,official announcement i turned into a bulimic i‘m not an anorexic anymore 😭,Negative,official announcement turned into bulimic not anorexic anymore
605,i want my lw back i don’t even look anorexic now,Negative,want back even look anorexic now
606,"do i even have ednos anymore lol 
i’m just a fat anorexic",Neutral,even have ednos anymore lol just fat anorexic
607,"girl says she is anorexic but eats 6 times a day, and never weighs herself…",Negative,girl says she anorexic but eats times and never weighs
608,Being a good little anorexic with my ice for lunch bc I got hungry while out walking around,Neutral,being good little anorexic with ice for lunch got hungry while out walking around
609,anorexic bitches (me) when it starts getting a lil cold out,Neutral,anorexic bitches when starts getting lil cold out
610,This anorexic person won’t be alive much longer if it doesn’t seek medical treatment and counseling.,Negative,this anorexic person alive much longer seek medical treatment and
611,thank you to the fat people who bullied the government to allow sodas to be purchasable through food stamps. youre helping poor anorexics all across the globe buy diet coke as meal replacements,Negative,thank you the fat people who bullied the government allow sodas purchasable through food youre helping poor anorexics all across the globe buy diet coke meal replacements
612,I'm so sorry for everyone who thinks Remilia Corporation is a creepy politically incorrect racist anorexic suicide cult it's sooo much weirder than that 😇 🤍 ✨,Neutral,sorry for everyone who thinks remilia corporation creepy politically incorrect racist anorexic suicide cult sooo much weirder than that
613,"i was weighing my food and my brother was like “ooh, what’s this?” and picked up some cereal from my bowl and the number changed and i told him to leave my food alone because it has to be a certain number and he was like “wth lmao u anorexic a55 b1tch having to weigh ur food”",Negative,was weighing food and brother was like and picked some cereal from bowl and the number changed and told him leave food alone because has certain number and was like lmao anorexic a55 b1tch having weigh
614,I GOT CALLED OUT FOR BEING ANOREXIC IN FRONT OF MY WHOLE FRIENDSHIP GROUP 😭,Negative,got called out for being anorexic front whole friendship group
615,"i mean thats untrue since you need to be underweight to be considered specifically *anorexic* but you can def still have severe restrictive eating disorder if ur not underweight, like atypical anorexia or EDNOS",Neutral,mean thats untrue since you need underweight considered specifically but you can def still have severe restrictive eating disorder not like atypical anorexia ednos
616,"how am i gaining on a 700 cal day plan.
anorexic? no babe i said “and a rice krispie”",Neutral,how gaining 700 cal day babe said rice
617,I had bulimic breakfast bed lunch and anorexic dinner,Neutral,had bulimic breakfast bed lunch and anorexic dinner
618,i gained like 6 lbs im the worst anorexic and should kill myself immediately,Negative,gained like lbs the worst anorexic and should kill myself immediately
619,Lee I had a massive breakdown I have alienated Henry I’m the talk of the village after an attack on George and I’m anorexic on 500 calories a day and I’m running 100k a week but most worrying of all I’m obsessed with lark rise to candleford #TheArchers,Negative,lee had massive breakdown have alienated henry the talk the village after attack george and anorexic 500 calories day and running 100k week but most worrying all obsessed with lark rise candleford
620,what would eggman look like if he were anorexic please i need help idk the anser,Neutral,what would eggman look like were anorexic please need help idk the anser
621,"can everyone in my family stop commenting on ppls bodies, no she doesnt “look anorexic” shut up 😭",Negative,can everyone family stop commenting ppls she doesnt shut
622,"Seeing older anorexics makes me want to recover so badly, I don’t want to be fighting this disorder in my 40’s",Positive,seeing older anorexics makes want recover want fighting this disorder
623,went from anorexic lana del rey bpd girl to live love laugh WASP wine mom within a few years…early 20s is crazy,Neutral,went from anorexic lana del rey bpd girl live love laugh wasp wine mom within few 20s crazy
624,is it normal and understandable yes but i feel like after a certain point (especially to b successful in recovery) its better Not to do this. A lot of anorexics develop bulimia or bed post restriction it is an endless cycle,Neutral,normal and understandable yes but feel like after certain point successful its better not lot anorexics develop bulimia bed post restriction endless cycle
625,best anorexic - sitting here while my friends eat a waffle,Neutral,best anorexic sitting here while friends eat waffle
626,"am i fake for not wanting to lose anymore like ive reached three ugw and if i keep losing i'll just lose muscle and my family is already so mad at me and even i am worried about my health now

i just wanna try to mantain for a few months but am i even anorexic if i eat",Neutral,fake for not wanting lose anymore like ive reached three ugw and keep losing just lose muscle and family already mad and even worried about health now just wanna try mantain for few months but even anorexic eat
627,straight up jus told my athletic friend to give me tips on how he burns 2600 cals a day cuz i’m anorexic,Negative,straight jus told athletic friend give tips how burns 2600 cals day cuz anorexic
628,i fw anorexics and roid users bc someone has to test out the limits of human physiology,Neutral,anorexics and roid users someone has test out the limits human physiology
629,"being the fat bulimic amongst a group of thin anorexics is truly an experience. seriously, my irls are my biggest motivation.",Neutral,being the fat bulimic amongst group thin anorexics truly irls are biggest
630,"the most consumed by their ed anorexic ive met is NOT the lowest weight anorexic ive met

just sayin",Neutral,the most consumed their anorexic ive met not the lowest weight anorexic ive met just sayin
631,Just had a Zumba class with a bunch of old probably anorexic white women it was sm fun,Neutral,just had zumba class with bunch old probably anorexic white women was fun
632,i fucking hate myself so much i don't even deserve to be called anorexic anymore,Negative,fucking hate myself much even deserve called anorexic anymore
633,suddenly im anorexic,Negative,suddenly anorexic
634,im so used to black coffee having it with milk and sweetener fels wrong  i am at an anorexics ideal state,Neutral,used black coffee having with milk and sweetener fels wrong anorexics ideal state
635,Being born w heart issues & also being anorexic is not for the weak,Neutral,being born heart issues also being anorexic not for the weak
636,body builder bf 🤝 anorexic gf,Neutral,body builder anorexic
637,i was unaware anorexic but it became anorexia nervosa year ago because of this stuff,Negative,was unaware anorexic but became anorexia nervosa year ago because this stuff
638,Unbelievable. Anorexic much ☠️,Negative,anorexic much
639,"An Anorexic does not see themselves  or other Anorexics as unwell. My step sister had Anorexia. They see themselves as fat, even when they are 40 pounds . The Bipolar, manic depression  and other mental conditions it causes add to the hell",Neutral,anorexic does not see themselves other anorexics step sister had they see themselves even when they are pounds the manic depression and other mental conditions causes add the hell
640,Why is eating one's self to death acceptable but anorexics starving themselves are admitted to treatment? Don't @ me.. both are health issues…,Negative,why eating self death acceptable but anorexics starving themselves are admitted both are health
641,"I've had the displeasure of being around a person like this years ago and know how much preparation goes into those pictures/posts, they have the self esteem of an anorexic teenage girl and are not having fun.",Negative,had the displeasure being around person like this years ago and know how much preparation goes into those they have the self esteem anorexic teenage girl and are not having
642,They also called me anorexic ?????,Neutral,they also called anorexic
643,i wish i was skinny enough to recover but i’m a whale,Negative,wish was skinny enough recover but whale
644,Me when I said I wanna become a healthy hair girlie but remember im anorexic,Neutral,when said wanna become healthy hair girlie but remember anorexic
645,I’m finally “anorexic cold” for the first time in ages lol. Have been fasting all day and I’m not even hungry,Neutral,finally for the first time ages have been fasting all day and not even hungry
646,my stepmom asked how long i walked and then proceeded to tell me her anorexic friend used to run around the whole town at night 😃 like okay should i try harder then,Negative,stepmom asked how long walked and then proceeded tell her anorexic friend used run around the whole town night like okay should try harder then
647,Okay yall I'm getting back on that anorexic grind fr now remind me every few days plz in stupid,Negative,okay yall getting back that anorexic grind now remind every few days plz stupid
648,A dating app for fat chefs to meet anorexics,Negative,dating app for fat chefs meet anorexics
649,What bmi do non disordered people think your anorexic at??,Neutral,what bmi non disordered people think your anorexic
650,"As a former (are you ever former?) anorexic, my heart absolutely breaks for her. It must have taken all her energy to put makeup and a wig on for that. She’ll be back in bed for the rest of the day. Apparently this is encouraged by her mother, who clearly needs to be in prison 😞",Negative,former you ever heart absolutely breaks for must have taken all her energy put makeup and wig for back bed for the rest the apparently this encouraged her who clearly needs prison
651,i’m so in love with my collarbones and wrists i can’t stop touching them it makes me feel like i’m in control when i touch them and they’re bony,Neutral,love with collarbones and wrists stop touching them makes feel like control when touch them and bony
652,"Today’s thoughts are am I unproductive because I’m depressed, anorexic or just lazy",Neutral,thoughts are unproductive because anorexic just lazy
653,"my parents are so triggering they tell me once i am 90 pounds i will magically not be anorexic any more! and i will just be “thin” and not sick
like the whole point is to be sick",Negative,parents are triggering they tell once pounds will magically not anorexic any and will just and not sick like the whole point sick
654,"Good grief, and if your 1-2 year old refuses to eat are they anorexic? If they run in the street after you tell them “no” are they suicidal? This doctor should be stripped of her licenses.",Negative,good and your year old refuses eat are they they run the street after you tell them are they this doctor should stripped her
655,"True, but she's looking substantially worse in the past year I think. All of her muscles are atrophied and you can see all of her veins now. I can't see her making it much longer. Most anorexics seem to die in their 30s(she's 29)",Negative,but looking substantially worse the past year all her muscles are atrophied and you can see all her veins see her making much most anorexics seem die their
656,how come i’m anorexic yet still eat more pussy than you?,Negative,how come anorexic yet still eat more pussy than
657,"""baby anorexic"" BRAH THIS ISNT A FANDOM",Negative,brah this isnt fandom
658,"you're right, I also find it weird how some of EDTWT if not majority flex ""being"" anorexic when really they just wnt to feel special and/or just want to be mean,, to other i.e calling them obese just bc they're like a BMI over or two,,",Negative,also find weird how some edtwt not majority flex anorexic when really they just wnt feel special just want other calling them obese just like bmi over
659,i asked my mom to take a picture of me at the beach and she said “im sorry but lightly said this looks bad you look like those anorexics” IM BMI 17 BRUH😭,Negative,asked mom take picture the beach and she said sorry but lightly said this looks bad you look like those bmi
660,beating the anorexic allegations (baking brownies),Neutral,beating the anorexic allegations
661,wow guys i’m the best anorexic!,Neutral,wow guys the best
662,back in april before the hospital made me f*t </3 bmi 16 here i think,Neutral,back april before the hospital made bmi here think
663,upper body bmi 16 lower body bmi 30,Neutral,upper body bmi lower body bmi
664,I’m used to seeing bmi 14< on this app so it’s not AS triggering but bro seeing it irl?????? SEEING HOW TINY THEY ARE IRL?????????? Nothing is as triggering I SWEAR,Negative,used seeing bmi this app not triggering but bro seeing seeing how tiny they are nothing triggering swear
665,“how i got from bmi 32 to bmi 14” well im gonna guess you didnt eat,Negative,got from bmi bmi well gonna guess you didnt eat
666,"my stomach at my high weight v now 
156lbs bmi 23.7 v 137lbs bmi 20.8",Neutral,stomach high weight now 156lbs bmi 137lbs bmi
667,I wanna be bmi 12 and wear this,Negative,wanna bmi and wear this
668,Many distance athletes could qualify as anorexic. To each their own. It’s quite silly to call him fat when we’re looking at a minimum of 180lbs of muscle not including the rest of his body.,Neutral,many distance athletes could qualify each their quite silly call him fat when looking minimum 180lbs muscle not including the rest his
669,"from lw (exactly bmi 15 i think), me walking in the clinic",Negative,from bmi walking the clinic
670,its really sad to watch someone with extremely low bmi having literal delusions about their health. you are going to die and you cant even see it and its honestly really upsetting. anorexia is so evil.,Negative,its really sad watch someone with extremely low bmi having literal delusions about their you are going die and you cant even see and its honestly really anorexia
671,I’m hella embarrassed of being over bmi 20…,Neutral,hella embarrassed being over bmi
672,"when r we gonna stop w the “naturally skinny” and “fast metab” stuff 😭 , i literally thought my bmi 14 irl was the exact same way as well but he barely eats when he’s home. U cant stay naturally skinny without some underlying ilness/condition or disordered eating.",Neutral,when gonna stop the and stuff literally thought bmi irl was the exact same way well but barely eats when cant stay naturally skinny without some underlying disordered
673,what bmi do i look? no looking at my bio.,Neutral,what bmi looking
674,"since no one wanted to guess my bmi, here are some bcs, bmi 16.1",Neutral,since one wanted guess here are some bmi
675,all of my friends r pretty much underweight so i look 10x fatter than them i hate this,Negative,all friends pretty much underweight look 10x fatter than them hate this
676,bodycheck comparison // i feel slightly better abt my legs now considering that a year and a bit ago they were even bigger btw i was still uw in the first pic i think my bmi was around 16 i just have a v unfortunate build,Negative,bodycheck comparison feel slightly better abt legs now considering that year and bit ago they were even bigger btw was still the first pic think bmi was around just have unfortunate build
677,19s bmi ,Neutral,19s bmi
678,"""guys do you think the cashier can tell"" yes actually and when you get up to the register theyre gonna yell over the speaker ""CUSTOMER AT REGISTER 3 HAS AN EATING DISORDER"" And then everybody around you will laugh at you and hate you and start guessing your BMI",Negative,you think the cashier can yes actually and when you get the register theyre gonna yell over the speaker register has eating and then everybody around you will laugh you and hate you and start guessing your bmi
679,what bmi do i look in this? pls be brutally honest (5”3 idk my bf% but it’s not more than 11% i dont think),Neutral,what bmi look pls brutally honest idk but not more than dont
680,"Ok since everyone else is doing this, guess my bmi without looking at my bio lol",Neutral,since everyone else doing guess bmi without looking bio lol
681,"sorry but if you give seriously underweight people advice on how to lose weight, or discourage their recovery, you are an awful person",Neutral,sorry but you give seriously underweight people advice how lose discourage their you are awful person
682,we need to change the whole bmi system thing cause how do i look morbidly obese but is supposedly 'underweight' ?..,Negative,need change the whole bmi system thing cause how look morbidly obese but supposedly
683,arm check.. am i fat..? what bmi do i look.. ,Negative,arm what bmi
684,Do I actually look bmi 17 omg I’m gonna kms,Negative,actually look bmi omg gonna kms
685,Yeah i dont care if someone is morbidly obese or severely underweight or healthy fucking BMI if you are making faces like youre having an orgasm everytime you eat something (like rolling eyes back) know its fucking disgusting,Negative,yeah dont care someone morbidly obese severely underweight healthy fucking bmi you are making faces like youre having orgasm everytime you eat something rolling eyes know its fucking disgusting
686,biggest enemy in life: underweight teenage boys with a scarily fast metabolism,Neutral,biggest enemy underweight teenage boys with scarily fast metabolism
687,"news flash! the majority of people with low bmi’s here on edtwt have crippling body dysmorphia and don’t want to show their body.
ed’s aren’t a cute aesthetic☺️",Neutral,news the majority people with low here edtwt have crippling body dysmorphia and want show their cute
688,BMI 16 IS SO ANNOYING. im almost out of it though,Negative,bmi almost out though
689,i don’t understand how u guys aren’t exhausted 24/7 im not even underweight yet and i already feel so tired all of the time ,Neutral,understand how guys exhausted not even underweight yet and already feel tired all the time
690,Guys im not even underweight but im getting so hairy??? I thought this was only supposed to happen when ur skinny?!?!? What!!!,Neutral,guys not even underweight but getting thought this was only supposed happen when
691,sometimes i b laughing and i remember im bmi 22 and shit isn’t so funny anymore,Neutral,sometimes laughing and remember bmi and shit funny anymore
692,im underweight but i dont look underweight,Neutral,underweight but dont look underweight
693,guess my bmi by my thighs?,Neutral,guess bmi
694,The fact that they’re all underweight and that I’m nowhere near all of their bmis and you can tell there’s a huge difference too. oh I need a gun,Negative,the fact that all underweight and that nowhere near all their bmis and you can tell huge difference need gun
695,Literally no one cares unless you're underweight,Negative,literally one cares unless underweight
696,wish my bmi was the same number as my age,Negative,wish bmi was the same number age
697,casual reminder that eds come in all shapes and sizes and u do not have to be underweight for ur ed to be valid and anyone who says otherwise is just bitter ,Positive,casual reminder that eds come all shapes and sizes and not have underweight for valid and anyone who says otherwise just bitter
698,You can call me fat but I was obese 3 months so being at a normal bmi is a huge thing for me ,Neutral,you can call fat but was obese months being normal bmi huge thing for
699,bro claims he is BMI 16 like sure buddy you’re definitely underweight thinking other people should make your meals for you and that a disordered meal would deserve death make it make sense,Negative,bro claims bmi like sure buddy definitely underweight thinking other people should make your meals for you and that disordered meal would deserve death make make sense
700,ed symptoms when ur not underweight aren’t even validating they’re just annoying,Negative,symptoms when not underweight even validating just annoying
701,"ik eds rot ur brain and stuff but like this is just confusing? im pretty sure ppl know underweight ppl exist? but its a weird thing for men to ONLY date/seek out ? underweight bodies also tend 2 look more ""childish"" ?",Neutral,eds rot brain and stuff but like this just pretty sure ppl know underweight ppl but its weird thing for men only out underweight bodies also tend look more
702,"Can you have disordered habits & thoughts without an eating disorder 
I think anything over bmi 15 is big, I do have times where I’ve had panic attacks over my body (they have gotten better) but I dont binge, purge, or am underweight to have ana",Neutral,can you have disordered habits thoughts without eating disorder think anything over bmi have times where had panic attacks over body have gotten but dont underweight have ana
